"name","ID","CD34High_vs_CD34Low_p.adj","CD34High_vs_CD34Neg_p.adj","CD34Low_vs_CD34Neg_p.adj","CD34High_vs_CD34Low_significant","CD34High_vs_CD34Neg_significant","CD34Low_vs_CD34Neg_significant","significant","CD34High_vs_CD34Low_ratio","CD34High_vs_CD34Neg_ratio","CD34Low_vs_CD34Neg_ratio","CD34High_centered","CD34Low_centered","CD34Neg_centered"
"CUL4B","Q13620","8.77e-01","9.04e-01","9.35e-01",FALSE,FALSE,FALSE,FALSE,-0.734,-1.46,-0.723,-0.73,0.00389,0.727
"CYCS","P99999","5.25e-01","9.51e-01","9.04e-01",FALSE,FALSE,FALSE,FALSE,-1.55,-0.615,0.938,-0.722,0.83,-0.108
"CYR61","O00622","8.24e-01","6.61e-01","8.68e-01",FALSE,FALSE,FALSE,FALSE,0.898,2.13,1.23,1.01,0.11,-1.12
"DAG1","Q14118","8.76e-01","9.47e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,0.661,0.763,0.102,0.475,-0.186,-0.288
"DBI","P07108","7.96e-01","9.56e-01","7.95e-01",FALSE,FALSE,FALSE,FALSE,-1.53,0.753,2.28,-0.259,1.27,-1.01
"DCN","P07585","9.32e-01","1.10e-01","1.99e-01",FALSE,FALSE,FALSE,FALSE,0.435,4.99,4.55,1.81,1.37,-3.18
"DCTN1","Q14203","9.01e-01","9.41e-01","8.52e-01",FALSE,FALSE,FALSE,FALSE,0.647,-1.05,-1.7,-0.135,-0.781,0.916
"DCTN2","Q13561","9.37e-01","9.55e-01","9.50e-01",FALSE,FALSE,FALSE,FALSE,0.316,0.728,0.412,0.348,0.0322,-0.38
"DDB1","Q16531","9.11e-01","9.68e-01","9.50e-01",FALSE,FALSE,FALSE,FALSE,-0.812,-0.263,0.548,-0.358,0.453,-0.0949
"DDX3X","O00571","9.52e-01","9.65e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,0.0642,0.403,0.339,0.156,0.0914,-0.247
"DHX9","Q08211","9.52e-01","9.24e-01","9.02e-01",FALSE,FALSE,FALSE,FALSE,-0.0636,-1.33,-1.27,-0.466,-0.402,0.868
"DKK3","Q9UBP4","8.51e-01","8.51e-01","5.18e-01",FALSE,FALSE,FALSE,FALSE,1.02,-2.2,-3.22,-0.394,-1.42,1.81
"DLD","P09622","8.36e-01","9.70e-01","9.25e-01",FALSE,FALSE,FALSE,FALSE,-1.66,-0.142,1.52,-0.601,1.06,-0.459
"DNAJC3","Q13217","7.78e-01","9.31e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,-1.26,-1.06,0.202,-0.774,0.488,0.286
"DNM1L","O00429","8.41e-01","9.44e-01","9.60e-01",FALSE,FALSE,FALSE,FALSE,-0.987,-0.973,0.0141,-0.653,0.334,0.32
"DNPEP","Q9ULA0","9.25e-01","9.67e-01","9.38e-01",FALSE,FALSE,FALSE,FALSE,0.573,-0.315,-0.888,0.0862,-0.487,0.401
"DPP3","Q9NY33","9.12e-01","9.59e-01","9.13e-01",FALSE,FALSE,FALSE,FALSE,-0.35,0.346,0.697,-0.00129,0.349,-0.348
"DPT","Q07507","9.44e-01","5.69e-01","4.35e-01",FALSE,FALSE,FALSE,FALSE,-0.152,2.2,2.35,0.682,0.834,-1.52
"DPYSL2","Q16555","7.90e-01","8.80e-01","9.50e-01",FALSE,FALSE,FALSE,FALSE,-1.19,-1.53,-0.34,-0.908,0.284,0.624
"DSTN","P60981","8.56e-01","9.21e-01","9.47e-01",FALSE,FALSE,FALSE,FALSE,-1.46,-2.24,-0.779,-1.24,0.228,1.01
"DYNC1H1","Q14204","9.32e-01","9.38e-01","9.37e-01",FALSE,FALSE,FALSE,FALSE,-0.537,-1.61,-1.07,-0.716,-0.179,0.895
"ECH1","Q13011","8.31e-01","9.67e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-2.01,-0.496,1.52,-0.836,1.18,-0.34
"ECHDC1","Q9NTX5","8.16e-01","9.28e-01","6.72e-01",FALSE,FALSE,FALSE,FALSE,-1.51,1.55,3.07,0.0145,1.53,-1.54
"ECM1","Q16610","9.23e-01","9.70e-01","9.43e-01",FALSE,FALSE,FALSE,FALSE,0.341,-0.084,-0.425,0.0857,-0.255,0.17
"ECM2","O94769","9.45e-01","8.82e-01","8.07e-01",FALSE,FALSE,FALSE,FALSE,-0.227,2.06,2.28,0.609,0.836,-1.45
"EEF1A1P5","Q5VTE0","9.08e-01","8.44e-01","8.87e-01",FALSE,FALSE,FALSE,FALSE,0.37,1.25,0.879,0.54,0.17,-0.709
"EEF1G","P26641","7.57e-01","9.34e-01","9.51e-01",FALSE,FALSE,FALSE,FALSE,-1.05,-0.805,0.241,-0.617,0.429,0.188
"EEF2","P13639","8.28e-01","9.63e-01","9.39e-01",FALSE,FALSE,FALSE,FALSE,-0.889,-0.337,0.552,-0.409,0.48,-0.0716
"EFEMP1","Q12805","9.54e-01","9.66e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,0.0172,0.299,0.281,0.105,0.0881,-0.193
"EFEMP2","O95967","8.51e-01","7.11e-01","8.57e-01",FALSE,FALSE,FALSE,FALSE,-1,-2.82,-1.82,-1.27,-0.272,1.54
"EHD1","Q9H4M9","9.27e-01","7.73e-01","8.12e-01",FALSE,FALSE,FALSE,FALSE,-0.302,-1.67,-1.37,-0.657,-0.355,1.01
"EHD2","Q9NZN4","8.98e-01","9.31e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,-0.437,-0.791,-0.354,-0.409,0.0275,0.382
"EIF3H","O15372","8.28e-01","7.87e-01","9.08e-01",FALSE,FALSE,FALSE,FALSE,-0.877,-1.82,-0.946,-0.9,-0.0228,0.923
"EIF4A1","P60842","9.31e-01","9.69e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,-0.299,0.121,0.42,-0.0592,0.24,-0.181
"EIF4H","Q15056","9.41e-01","4.09e-01","2.89e-01",FALSE,FALSE,FALSE,FALSE,-0.329,4.28,4.61,1.32,1.65,-2.96
"EIF5A","P63241","9.06e-01","9.06e-01","7.64e-01",FALSE,FALSE,FALSE,FALSE,-0.456,1.15,1.6,0.231,0.686,-0.917
"EMILIN1","Q9Y6C2","9.34e-01","9.65e-01","9.38e-01",FALSE,FALSE,FALSE,FALSE,0.669,-0.684,-1.35,-0.00498,-0.674,0.679
"ENO1","P06733","8.47e-01","9.62e-01","9.47e-01",FALSE,FALSE,FALSE,FALSE,-0.573,-0.286,0.287,-0.286,0.286,-0.000289
"ENO2","P09104","6.32e-01","6.68e-01","9.31e-01",FALSE,FALSE,FALSE,FALSE,-2.57,-3.74,-1.17,-2.1,0.466,1.64
"EPRS","P07814","9.52e-01","9.68e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,-0.0717,-0.306,-0.235,-0.126,-0.0543,0.18
"ERAP1","Q9NZ08","8.31e-01","9.23e-01","9.54e-01",FALSE,FALSE,FALSE,FALSE,-0.775,-0.953,-0.178,-0.576,0.199,0.377
"ERO1L","Q96HE7","9.23e-01","9.55e-01","9.09e-01",FALSE,FALSE,FALSE,FALSE,0.482,-0.742,-1.22,-0.0866,-0.569,0.656
"ERP29","P30040","9.12e-01","7.40e-01","4.73e-01",FALSE,FALSE,FALSE,FALSE,0.633,-2.78,-3.41,-0.715,-1.35,2.06
"ERP44","Q9BS26","9.50e-01","9.48e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-0.101,-1.02,-0.919,-0.374,-0.273,0.646
"EZR","P15311","9.07e-01","9.11e-01","9.29e-01",FALSE,FALSE,FALSE,FALSE,-0.792,-1.95,-1.16,-0.913,-0.121,1.03
"FABP4","P15090","9.23e-01","9.51e-01","9.00e-01",FALSE,FALSE,FALSE,FALSE,-0.607,1.05,1.65,0.147,0.753,-0.9
"FABP5","Q01469","9.41e-01","9.00e-01","8.26e-01",FALSE,FALSE,FALSE,FALSE,-0.316,1.98,2.3,0.555,0.871,-1.43
"FAH","P16930","8.44e-01","9.59e-01","8.72e-01",FALSE,FALSE,FALSE,FALSE,-1.18,0.693,1.87,-0.163,1.02,-0.856
"FAM114A1","Q8IWE2","9.40e-01","9.62e-01","9.56e-01",FALSE,FALSE,FALSE,FALSE,-0.287,-0.492,-0.205,-0.26,0.0273,0.232
"FAM129B","Q96TA1","8.91e-01","9.43e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,-0.795,-1.11,-0.317,-0.636,0.159,0.476
"FAM3C","Q92520","9.35e-01","9.12e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,0.49,2.19,1.7,0.892,0.402,-1.29
"FASN","P49327","9.00e-01","9.68e-01","9.31e-01",FALSE,FALSE,FALSE,FALSE,-1.03,0.317,1.34,-0.236,0.789,-0.553
"FAT1","Q14517","9.42e-01","9.58e-01","9.50e-01",FALSE,FALSE,FALSE,FALSE,-0.307,-0.819,-0.512,-0.375,-0.0682,0.444
"FBLN1","P23142","9.31e-01","9.52e-01","9.49e-01",FALSE,FALSE,FALSE,FALSE,0.328,0.685,0.357,0.338,0.0099,-0.347
"FBLN2","P98095","9.48e-01","9.62e-01","9.52e-01",FALSE,FALSE,FALSE,FALSE,0.149,0.502,0.353,0.217,0.068,-0.285
"FBLN5","Q9UBX5","9.04e-01","9.59e-01","9.59e-01",FALSE,FALSE,FALSE,FALSE,0.463,0.425,-0.0377,0.296,-0.167,-0.129
"FBN1","P35555","8.47e-01","7.40e-01","8.73e-01",FALSE,FALSE,FALSE,FALSE,1.01,2.66,1.65,1.23,0.211,-1.44
"FBN2","P35556","9.31e-01","7.17e-01","7.59e-01",FALSE,FALSE,FALSE,FALSE,0.495,3.28,2.79,1.26,0.763,-2.02
"FERMT2","Q96AC1","8.18e-01","9.48e-01","9.52e-01",FALSE,FALSE,FALSE,FALSE,-0.924,-0.671,0.253,-0.532,0.392,0.139
"FH","P07954","5.31e-01","8.20e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-2.95,-3.09,-0.147,-2.01,0.933,1.08
"FKBP10","Q96AY3","9.35e-01","6.83e-01","7.16e-01",FALSE,FALSE,FALSE,FALSE,-0.224,-1.79,-1.57,-0.673,-0.449,1.12
"FKBP1A","P62942","8.44e-01","9.35e-01","9.56e-01",FALSE,FALSE,FALSE,FALSE,-1.07,-1.27,-0.197,-0.78,0.292,0.488
"FKBP2","P26885","9.48e-01","7.04e-01","6.74e-01",FALSE,FALSE,FALSE,FALSE,-0.144,-2.81,-2.66,-0.984,-0.84,1.82
"FKBP5","Q13451","6.70e-01","9.57e-01","6.89e-01",FALSE,FALSE,FALSE,FALSE,-2.34,0.869,3.2,-0.489,1.85,-1.36
"FKBP7","Q9Y680","9.01e-01","9.26e-01","8.12e-01",FALSE,FALSE,FALSE,FALSE,0.57,-1.14,-1.71,-0.19,-0.76,0.951
"FKBP9","O95302","8.82e-01","9.10e-01","9.37e-01",FALSE,FALSE,FALSE,FALSE,-0.478,-0.935,-0.458,-0.471,0.00661,0.464
"FLNA","P21333","9.27e-01","5.70e-01","6.50e-01",FALSE,FALSE,FALSE,FALSE,-0.421,-2.94,-2.52,-1.12,-0.701,1.82
"FLNB","O75369","9.40e-01","9.36e-01","9.30e-01",FALSE,FALSE,FALSE,FALSE,-0.501,-2.14,-1.64,-0.882,-0.38,1.26
